Description,2017,2018,2019,2020,2021,2022,2023_Jan,2023_Feb,2023_Mar,2023_Apr,2023_May,2023_Jun,2023_Jul,2023_Aug,2023_Sep,2023_Oct,2023_Nov,2023_Dec,2024_Jan,2024_Feb,2024_Mar,2024_Apr,2024_May,2024_Jun,2024_Jul,2024_Aug
Tagihan Kepada sektor lainnya,5087392000000000,5725267000000000,6039881000000000,5940141000000000,6259531000000000,6921210000000000,6836070000000000,6886377000000000,6948351000000000,6967182000000000,7090783000000000,7160390000000000,7197416000000000,7244937000000000,7412592000000000,7344195000000000,7424055000000000,7523368000000000,7495223000000000,7535941000000000,7686917000000000,7754820000000000,7811392000000000,7891869000000000,7950825000000000,7946634000000000
Tagihan Kepada Lembaga keuangan Lainnya,324909000000000,371297000000000,377277000000000,344148000000000,406112000000000,478553000000000,472524000000000,480413000000000,489269000000000,494993000000000,508417000000000,518460000000000,515976000000000,515406000000000,526170000000000,526457000000000,532158000000000,551184000000000,543534000000000,570188000000000,611161000000000,640933000000000,657217000000000,674524000000000,682320000000000,687208000000000
Pinjaman yang Diberikan,221986000000000,257599000000000,259283000000000,231263000000000,240716000000000,304106000000000,296479000000000,305303000000000,321676000000000,323492000000000,334091000000000,342499000000000,332863000000000,333220000000000,346800000000000,342447000000000,347105000000000,366053000000000,359762000000000,384873000000000,416362000000000,417566000000000,432631000000000,446779000000000,449009000000000,451571000000000
Tagihan Lainnya,102923000000000,113698000000000,117994000000000,112884000000000,165396000000000,174448000000000,176046000000000,175110000000000,167592000000000,171501000000000,174326000000000,175961000000000,183113000000000,182186000000000,179370000000000,184011000000000,185052000000000,185131000000000,183772000000000,185315000000000,194799000000000,223367000000000,224586000000000,227745000000000,233311000000000,235637000000000
Tagihan Kepada Pemerintah Daerah,4476000000000,5242000000000,2400000000000,2656000000000,2792000000000,3259000000000,3304000000000,3262000000000,3084000000000,3030000000000,2868000000000,2712000000000,2482000000000,2558000000000,2368000000000,2216000000000,2215000000000,2343000000000,2341000000000,2262000000000,1995000000000,1834000000000,1658000000000,1487000000000,1387000000000,1230000000000
Tagihan Kepada Perusahaan Bukan keuangan BUMN,345288000000000,480134000000000,508582000000000,464221000000000,406466000000000,443388000000000,427023000000000,425879000000000,430071000000000,441849000000000,449842000000000,438024000000000,437311000000000,421124000000000,427987000000000,417676000000000,421639000000000,425368000000000,425463000000000,429056000000000,439344000000000,451920000000000,461968000000000,464927000000000,490234000000000,482788000000000
Tagihan Kepada Sektor Swasta,4412719000000000,4868594000000000,5151622000000000,5129116000000000,5444160000000000,5996010000000000,5933219000000000,5976823000000000,6025928000000000,6027310000000000,6129655000000000,6201195000000000,6241647000000000,6305849000000000,6456067000000000,6397846000000000,6468044000000000,6544473000000000,6523884000000000,6534434000000000,6634417000000000,6660134000000000,6690548000000000,6750931000000000,6776884000000000,6775408000000000
Simpanan dan Surat Berharga yang tidak termasuk Uang Beredar,-333276000000000,-353968000000000,-361971000000000,-350527000000000,-247456000000000,-327940000000000,-313844000000000,-316656000000000,-323395000000000,-320608000000000,-318910000000000,-332929000000000,-339833000000000,-348871000000000,-353857000000000,-364847000000000,-376629000000000,-414202000000000,-396417000000000,-396025000000000,-426202000000000,-427294000000000,-434079000000000,-449500000000000,-459110000000000,-458435000000000
Kewajiban Lainnya kepada Lembaga Keuangan,-74764000000000,-80818000000000,-80993000000000,-73394000000000,-62276000000000,-69317000000000,-66225000000000,-67323000000000,-66808000000000,-66971000000000,-68232000000000,-68692000000000,-69778000000000,-69813000000000,-70534000000000,-74825000000000,-71301000000000,-71672000000000,-73932000000000,-74349000000000,-76962000000000,-77333000000000,-80133000000000,-83053000000000,-78197000000000,-72705000000000
Saham dan Modal lainnya,-1451818000000000,-1630190000000000,-1736063000000000,-1853413000000000,-2023572000000000,-2122037000000000,-2107422000000000,-2132293000000000,-2060407000000000,-2051082000000000,-2112545000000000,-2138375000000000,-2171538000000000,-2191626000000000,-2200855000000000,-2239051000000000,-2275631000000000,-2310133000000000,-2360961000000000,-2360347000000000,-2284310000000000,-232226000000000,-2341853000000000,-2386288000000000,-2428927000000000,-2406193000000000
