Description,2014,2015,2016,2017,2018,2019,2020_Jan,2020_Feb,2020_Mar,2020_Apr,2020_May,2020_Jun,2020_Jul,2020_Aug,2020_Sep,2020_Oct,2020_Nov,2020_Dec,2021_Jan,2021_Feb,2021_Mar,2021_Apr,2021_May,2021_Jun,2021_Jul,2021_Aug,2021_Sep,2021_Oct,2021_Nov,2021_Dec,2022_Jan,2022_Feb,2022_Mar,2022_Apr,2022_May,2022_Jun,2022_Jul,2022_Aug,2022_Sep,2022_Oct,2022_Nov,2022_Dec,2023_Jan,2023_Feb,2023_Mar,2023_Apr,2023_May,2023_Jun,2023_Jul,2023_Aug,2023_Sep,2023_Oct,2023_Nov,2023_Dec,2024_Jan,2024_Feb,2024_Mar,2024_Apr,2024_May,2024_Jun,2024_Jul,2024_Aug
Rupiah,1144254000000000,1245879000000000,1380679000000000,1520007000000000,1644863000000000,1757687000000000,1706979000000000,1698348000000000,1754482000000000,1736015000000000,1806930000000000,1793012000000000,1808559000000000,1834151000000000,1842642000000000,1844098000000000,1885884000000000,1958639000000000,1914313000000000,1898808000000000,1910671000000000,1961932000000000,1989504000000000,2025062000000000,2029646000000000,2043890000000000,2064742000000000,2087912000000000,2114946000000000,2215928000000000,2159120000000000,2163685000000000,2182755000000000,2276733000000000,2254572000000000,2252234000000000,2256101000000000,2248338000000000,2254164000000000,2234296000000000,2257045000000000,2324524000000000,2256437000000000,2246760000000000,2248932000000000,2295278000000000,2297616000000000,2313835000000000,2310876000000000,2301314000000000,2290601000000000,2294905000000000,2317951000000000,2363775000000000,2346062000000000,2338694000000000,2378068000000000,2397754000000000,2385736000000000,2407188000000000,2413284000000000,2403646000000000
Valuta Asing,90334000000000,115787000000000,126879000000000,118326000000000,124436000000000,120222000000000,124374000000000,131480000000000,145545000000000,134554000000000,138080000000000,134936000000000,139083000000000,146572000000000,144840000000000,146481000000000,149315000000000,148215000000000,142299000000000,143831000000000,148946000000000,140539000000000,142859000000000,144295000000000,147543000000000,147959000000000,155881000000000,156201000000000,159128000000000,158762000000000,166160000000000,169104000000000,179186000000000,173866000000000,170566000000000,179755000000000,176870000000000,179042000000000,183163000000000,187236000000000,187392000000000,180150000000000,177680000000000,178484000000000,180636000000000,182240000000000,171275000000000,165889000000000,165217000000000,164383000000000,166834000000000,163570000000000,163309000000000,161070000000000,167417000000000,167191000000000,161678000000000,166678000000000,166942000000000,171471000000000,173155000000000,176054000000000
Giro Valas,245005000000000,272678000000000,259420000000000,247374000000000,279284000000000,314056000000000,308392000000000,308628000000000,398949000000000,344075000000000,380414000000000,345798000000000,359519000000000,372277000000000,377300000000000,354805000000000,373098000000000,363468000000000,369483000000000,392974000000000,430224000000000,421741000000000,400338000000000,425988000000000,421469000000000,441122000000000,453019000000000,503294000000000,503266000000000,512969000000000,487106000000000,495497000000000,545437000000000,494452000000000,510103000000000,516076000000000,510804000000000,560009000000000,546408000000000,575085000000000,643928000000000,661947000000000,654864000000000,673009000000000,676512000000000,638830000000000,625338000000000,642994000000000,648221000000000,655424000000000,656289000000000,690007000000000,706052000000000,730414000000000,724706000000000,726537000000000,726752000000000,750256000000000,784698000000000,745670000000000,731076000000000,706289000000000
Surat Berharga Selain Saham,21630000000000,13399000000000,13525000000000,18362000000000,20533000000000,25981000000000,26719000000000,26646000000000,28178000000000,24564000000000,24422000000000,20965000000000,18767000000000,19479000000000,21345000000000,22576000000000,24016000000000,23220000000000,21274000000000,20045000000000,18201000000000,17634000000000,18165000000000,16457000000000,17059000000000,20603000000000,21089000000000,20192000000000,20094000000000,22675000000000,23068000000000,23556000000000,26608000000000,28087000000000,26427000000000,24795000000000,19164000000000,19624000000000,21062000000000,26038000000000,24378000000000,24563000000000,27608000000000,25577000000000,23594000000000,23457000000000,22791000000000,23701000000000,26667000000000,27878000000000,25427000000000,26917000000000,27836000000000,28613000000000,28532000000000,30364000000000,30467000000000,31539000000000,36618000000000,69653000000000,89551000000000,103245000000000
Faktor-faktor Yang Mempengaruhi Uang beredar,4173327000000000,4548800000000000,5004977000000000,5419165000000000,5760046000000000,6136777000000000,6046651000000000,6116495000000000,6440457000000000,6238267000000000,6468194000000000,6393744000000000,6567725000000000,6726135000000000,6742949000000000,6780845000000000,6817457000000000,6900049000000000,6767408000000000,6817788000000000,6895564000000000,6964386000000000,7004093000000000,7130061000000000,7160560000000000,7211501000000000,7300921000000000,7491704000000000,7572176000000000,7867090000000000,7646789000000000,7690135000000000,7810949000000000,7911484000000000,7854187000000000,7890747000000000,7845552000000000,7897628000000000,7962693000000000,8223055000000000,8297350000000000,8528022000000000,8271838000000000,8300648000000000,8293283000000000,8352350000000000,8336171000000000,8372990000000000,8349492000000000,8364739000000000,8441236000000000,8506544000000000,8574917000000000,8824748000000000,8721950000000000,8739574000000000,8891425000000000,8926466000000000,8968821000000000,9015355000000000,8983383000000000,8973696000000000
Aktiva Luar negeri Bersih,1105783000000000,1176638000000000,1298938000000000,1541838000000000,1442602000000000,1506614000000000,1524649000000000,1593390000000000,1670977000000000,1646198000000000,1659392000000000,1622242000000000,1724741000000000,1737307000000000,1762520000000000,1735683000000000,1665861000000000,1711188000000000,1751525000000000,1776325000000000,1803431000000000,1821783000000000,1765827000000000,1809372000000000,1799134000000000,1841761000000000,1851331000000000,1834568000000000,1842188000000000,1809680000000000,1782609000000000,1801305000000000,1776927000000000,1742462000000000,1714258000000000,1779197000000000,1715686000000000,1767398000000000,1753349000000000,1763959000000000,1861514000000000,1898133000000000,1899556000000000,1927835000000000,1952711000000000,1933822000000000,1872336000000000,1834567000000000,1870811000000000,1850135000000000,1858540000000000,1851084000000000,1867816000000000,1967181000000000,1989999000000000,1972199000000000,1930698000000000,1912539000000000,1882646000000000,1891002000000000,1868086000000000,1828892000000000
Tagihan Kepada Bukan Penduduk,1596103000000000,1741211000000000,1838278000000000,2073389000000000,2051432000000000,2103385000000000,2110289000000000,2196231000000000,2348854000000000,2275617000000000,2260011000000000,2211084000000000,2320756000000000,2333781000000000,2356099000000000,2332094000000000,2244260000000000,2277585000000000,2311121000000000,2352099000000000,2374126000000000,2381090000000000,2333250000000000,2366823000000000,2358076000000000,2484706000000000,2493032000000000,2466332000000000,2478172000000000,2446267000000000,2409522000000000,2446419000000000,2419860000000000,2403375000000000,2398034000000000,2469447000000000,2401514000000000,2431075000000000,2443445000000000,2476035000000000,2587663000000000,2630692000000000,2591128000000000,2620114000000000,2632831000000000,2605620000000000,2552243000000000,2508719000000000,2534278000000000,2531087000000000,2558608000000000,2590330000000000,2605853000000000,2736054000000000,2787474000000000,2777906000000000,2738043000000000,2719250000000000,2762431000000000,2819518000000000,2864315000000000,2822983000000000
Kewajiban Kepada Bukan Penduduk,490321000000000,564572000000000,539340000000000,531551000000000,608830000000000,596771000000000,585640000000000,602841000000000,677877000000000,629419000000000,600619000000000,588842000000000,596015000000000,596474000000000,593580000000000,596411000000000,578400000000000,566397000000000,559596000000000,575774000000000,570695000000000,559307000000000,567422000000000,557451000000000,558942000000000,642944000000000,641701000000000,631763000000000,635984000000000,636586000000000,626913000000000,645113000000000,642932000000000,660913000000000,683775000000000,690250000000000,685828000000000,663676000000000,690095000000000,712076000000000,726149000000000,732559000000000,691572000000000,692280000000000,680120000000000,671798000000000,679907000000000,674151000000000,663467000000000,680952000000000,700068000000000,739246000000000,738037000000000,768874000000000,797475000000000,805707000000000,807345000000000,806711000000000,879786000000000,928516000000000,996229000000000,994092000000000
Aktiva Dalam Negeri Bersih,3067544000000000,3372162000000000,3706039000000000,3877327000000000,4317444000000000,4630162000000000,4522002000000000,4523106000000000,4769481000000000,4592069000000000,4808802000000000,4771501000000000,4842984000000000,4994453000000000,4986055000000000,5045162000000000,5151596000000000,5188861000000000,5015882000000000,5041463000000000,5092133000000000,5142604000000000,5238266000000000,5320690000000000,5361426000000000,5369739000000000,5449589000000000,5657136000000000,5729989000000000,6057410000000000,5864180000000000,5888829000000000,6034022000000000,6169023000000000,6139928000000000,6111550000000000,6129866000000000,6130230000000000,6209344000000000,6459096000000000,6435836000000000,6629890000000000,6372282000000000,6372814000000000,6340573000000000,6418528000000000,6463835000000000,6538423000000000,6478681000000000,6514604000000000,6582696000000000,6655460000000000,6707101000000000,6857567000000000,6731951000000000,6767376000000000,6960727000000000,7013927000000000,7086176000000000,7124353000000000,7115297000000000,7144805000000000
Tagihan Bersih kepada Pemerintah Pusat,416608000000000,491127000000000,519065000000000,488862000000000,472729000000000,489173000000000,434454000000000,432096000000000,487719000000000,458513000000000,490129000000000,576250000000000,602877000000000,708642000000000,790672000000000,795764000000000,853986000000000,818727000000000,672416000000000,651402000000000,692118000000000,664444000000000,764942000000000,797333000000000,835833000000000,858308000000000,917981000000000,1037347000000000,1113323000000000,1127492000000000,996318000000000,929878000000000,885833000000000,813009000000000,794737000000000,685883000000000,743483000000000,666037000000000,619769000000000,862976000000000,921695000000000,970957000000000,792425000000000,747331000000000,658462000000000,607571000000000,637312000000000,697556000000000,653403000000000,665932000000000,701598000000000,787025000000000,783401000000000,908188000000000,807170000000000,739913000000000,776515000000000,764153000000000,782059000000000,795627000000000,757007000000000,749464000000000
